target,type,feature,rho,perm_p,loo_r2cv,loo_rmse,loo_mae,rho_partial_uamag,q_fdr
sdq_totdiff,cont,gyX_median,-0.06992541505148349,0.7422,-0.04984489761781763,3.3994458680063975,2.726519291010875,,0.985218064516129
sdq_totdiff,cont,gyX_iqr,-0.35006685774201796,0.09413000000000005,-0.032901678628110664,3.371902828603097,2.633730741300211,,0.9752624000000002
sdq_totdiff,cont,gyX_mad,-0.35006685774201796,0.09413000000000005,-0.03158719119933262,3.369756576432719,2.6339730469017755,,0.9752624000000002
sdq_totdiff,cont,gyX_skew,-0.09235432176611026,0.66354,-0.0882495124499274,3.4610653514087217,2.8633337931444154,,0.9803723636363636
sdq_totdiff,cont,gyX_kurt,0.02858586149903413,0.89237,-0.06291585302070213,3.4205425818339164,2.725533262576539,,0.985218064516129
sdq_totdiff,cont,gyX_zcr,-0.07344367492828768,0.72963,-0.04964128373232435,3.3991161964769376,2.7905227922976934,,0.985218064516129
sdq_totdiff,cont,gyX_madiff,-0.4701274760379613,0.02153000000000005,-0.02731310261003861,3.362768515922427,2.7102386523185493,,0.9752624000000002
sdq_totdiff,cont,gyX_domfreq,-0.19042581583202736,0.37,-0.07966719251095178,3.447390745582015,2.697500692305924,,0.9752624000000002
sdq_totdiff,cont,gyX_centroid,-0.09411345170451237,0.65742,-0.05108131136838767,3.401447061152991,2.8190991312886453,,0.979684705882353
sdq_totdiff,cont,gyX_spread,-0.13281431034935856,0.5338499999999999,-0.04880450183897289,3.3977610258892077,2.8411999354481963,,0.9752624000000002
sdq_totdiff,cont,gyX_entropy,0.041779336037049884,0.84455,-0.07266029426375331,3.4361859800930405,2.7240994161669274,,0.985218064516129
sdq_totdiff,cont,gyX_bp_lf,-0.08883606188930607,0.6760200000000001,-0.050321732086965554,3.400217786292525,2.672978654991633,,0.9803723636363636
sdq_totdiff,cont,gyX_bp_mf,-0.11610257593453863,0.58683,-0.04953267255900795,3.398940330895624,2.7544308403088262,,0.9752624000000002
sdq_totdiff,cont,gyX_bp_hf,-0.13985083010296698,0.5124,-0.035495879152775744,3.376134551109577,2.802965949937446,,0.9752624000000002
sdq_totdiff,cont,gyY_mean,0.05849107045186983,0.78322,-0.07982734285129567,3.447646417113414,2.751820708222476,,0.985218064516129
sdq_totdiff,cont,gyY_std,-0.22252993720786568,0.29515,0.0304523124640389,3.2668571649731333,2.4798554582441636,,0.9752624000000002
sdq_totdiff,cont,gyY_var,-0.22252993720786568,0.29515,0.036746889623340495,3.256235217476988,2.4625578419605287,,0.9752624000000002
sdq_totdiff,cont,gyY_rms,-0.22252993720786568,0.29515,0.029953086113561622,3.2676981196340615,2.4818082711560314,,0.9752624000000002
sdq_totdiff,cont,gyY_min,0.17327429893260687,0.41605000000000003,-0.03872572626312665,3.3813957543733495,2.7225225584017294,,0.9752624000000002
sdq_totdiff,cont,gyY_max,-0.08531780201250186,0.6884,-0.060539884776837694,3.4167174214036358,2.7204687143779167,,0.9803723636363636
sdq_totdiff,cont,gyY_range,-0.050574985729060384,0.81192,-0.032028168746438324,3.370476742517817,2.711783837795693,,0.985218064516129
